problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;5.93400e+00;100;2;34;9.60000e-01;9.60000e-01;6.70000e-01;9.53630e-01;6.18047e-03;7.49382e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };9.26721e-01;1.00000e+00;8.99166e-01;Pipeline { filter(avg_Y < 165000.0000) };9.26721e-01;1.00000e+00;8.99166e-01;Pipeline { filter(avg_Y < 165000.0000) };6.12092e-01;9.69751e-01;8.06956e-01;Pipeline { map_duplicate(probability=0.50) };6.35824e-01;1.36947e-01;6.72890e-01;Pipeline { filter(avg_X > 0.0001) | map_noise(attribute=avg_Y, percentage=0.05) | map_noise(attribute=avg_Y, percentage=0.05) | map_duplicate(probability=0.60) | map_noise(attribute=avg_X, percentage=0.01) | map_aggregate(attribute=avg_X, function=avg, window=5) | filter(avg_X > 0.0043) | filter(avg_X > 154.0000) | map_noise(attribute=avg_Y, percentage=0.10) };5.96838e-01;5.04968e-02;6.85532e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.10) | map_duplicate(probability=0.50) | map_aggregate(attribute=avg_Y, function=max, window=3) | map_aggregate(attribute=avg_Y, function=max, window=10) | map_aggregate(attribute=avg_Y, function=avg, window=9) | map_noise(attribute=avg_Y, percentage=0.25) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_X, function=min, window=6) | filter(avg_Y > 9.7600) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;9.81700e+00;100;8;5;9.60000e-01;9.60000e-01;1.00000e+00;9.54995e-01;5.12006e-03;7.49474e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=avg, window=4) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };4.59304e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };8.34730e-01;9.89289e-01;9.16663e-01;Pipeline { map_duplicate(probability=0.10) };9.17285e-01;1.32539e-01;7.66452e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.25) };6.23320e-01;6.20228e-01;5.95892e-01;Pipeline { map_duplicate(probability=0.30) | map_duplicate(probability=0.40) | filter(avg_X > 0.5510) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };8.81142e-01;4.48027e-01;7.69122e-01;Pipeline { map_aggregate(attribute=avg_X, function=min, window=7) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;1.50880e+01;100;14;8;9.60000e-01;9.60000e-01;9.70000e-01;9.55475e-01;3.17965e-03;7.49432e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=avg, window=4) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };4.59304e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };9.20761e-01;1.00000e+00;9.51434e-01;Pipeline { filter(avg_Y < 765000.0000) };9.24046e-01;3.43703e-01;7.74326e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=7) };4.34833e-01;9.67722e-01;5.22543e-01;Pipeline { filter(avg_X > 0.0210) | filter(avg_Y > 52.9000) | map_duplicate(probability=0.80) | map_duplicate(probability=0.40) };8.84471e-01;6.06201e-01;7.90780e-01;Pipeline { map_aggregate(attribute=avg_X, function=min, window=3) | map_noise(attribute=avg_Y, percentage=0.01) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;1.99370e+01;100;12;19;9.80000e-01;9.70000e-01;9.40000e-01;9.56488e-01;1.67936e-02;7.49714e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=avg, window=4) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };4.59304e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };9.24811e-01;1.00000e+00;9.70329e-01;Pipeline { filter(avg_Y < 965000.0000) };9.53248e-01;7.39502e-03;7.49830e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 2.3400) | map_noise(attribute=avg_Y, percentage=0.10) };6.56425e-01;9.73354e-01;8.30155e-01;Pipeline { map_duplicate(probability=0.40) };9.35455e-01;5.62090e-01;8.06141e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;2.52590e+01;100;18;5;9.80000e-01;9.80000e-01;8.50000e-01;9.60757e-01;1.50545e-01;6.02313e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=min, window=5) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };4.59304e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 96500000.0000) };9.54754e-01;1.80995e-02;7.50233e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_Y, percentage=0.10) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 2.3500) | map_noise(attribute=avg_Y, percentage=0.10) };9.25085e-01;1.00000e+00;9.47812e-01;Pipeline { filter(avg_Y < 725000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 58.2000) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;3.03470e+01;100;24;4;9.90000e-01;9.90000e-01;8.20000e-01;9.67624e-01;2.00176e-01;6.04432e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_X, function=min, window=5) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };8.77344e-01;1.00000e+00;8.28148e-01;Pipeline { filter(avg_Y > 0.4050) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 96500000.0000) };9.55744e-01;4.25155e-03;7.57571e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_Y, percentage=0.05) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X < 1750000000.0000) | map_noise(attribute=avg_Y, percentage=0.10) };9.27224e-01;1.00000e+00;8.99482e-01;Pipeline { filter(avg_Y < 167000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.4050) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;3.47020e+01;100;32;11;1.00000e+00;1.00000e+00;9.20000e-01;9.67624e-01;2.00176e-01;6.04432e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_X, function=min, window=5) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };9.00582e-01;1.00000e+00;9.24115e-01;Pipeline { filter(avg_X < 765000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 2240000000.0000) };9.56452e-01;1.56223e-02;7.49858e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=avg, window=4) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };9.35455e-01;5.62090e-01;8.06141e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) };9.38597e-01;3.62108e-01;7.81875e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=5) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;3.92400e+01;100;45;20;1.00000e+00;1.00000e+00;8.50000e-01;9.70888e-01;1.54013e-01;6.12101e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=3) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };9.27346e-01;1.00000e+00;8.99619e-01;Pipeline { filter(avg_Y < 168000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 9970000.0000) };9.57321e-01;1.78827e-04;7.54707e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.05) | map_aggregate(attribute=avg_X, function=max, window=8) | map_aggregate(attribute=avg_X, function=avg, window=4) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };9.33520e-01;6.16036e-01;7.84189e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) | map_aggregate(attribute=avg_X, function=min, window=5) };9.35455e-01;5.62090e-01;8.06141e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;4.35320e+01;100;60;40;1.00000e+00;1.00000e+00;7.60000e-01;9.71104e-01;2.48812e-02;6.14439e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };9.24586e-01;1.00000e+00;9.62947e-01;Pipeline { filter(avg_Y < 962000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 2440000000.0000) };9.57625e-01;2.49132e-03;7.57478e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_noise(attribute=avg_Y, percentage=0.10) | map_noise(attribute=avg_Y, percentage=0.25) | map_noise(attribute=avg_X, percentage=0.25) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 2040000000.0000) };9.24586e-01;1.00000e+00;9.62947e-01;Pipeline { filter(avg_Y < 962000.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;4.73580e+01;100;63;37;1.00000e+00;1.00000e+00;6.50000e-01;9.71104e-01;2.48812e-02;6.14439e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };9.25374e-01;1.00000e+00;9.47784e-01;Pipeline { filter(avg_Y < 698000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 2740000000.0000) };9.57928e-01;1.18306e-01;7.52323e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=9) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.01) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_aggregate(attribute=avg_Y, function=avg, window=7) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 240000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 2450000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;11;1100;1100;5.09980e+01;100;82;18;1.00000e+00;1.00000e+00;4.70000e-01;9.73950e-01;3.98354e-02;6.11799e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };9.25374e-01;1.00000e+00;9.47784e-01;Pipeline { filter(avg_Y < 698000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 96500000.0000) };9.42546e-01;2.29401e-01;7.69310e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=7) | map_noise(attribute=avg_Y, percentage=0.01) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 9640000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 96700000.0000) }
datasets/geolife_60mins.csv;nsga2;1;12;1200;1200;5.38520e+01;100;100;100;1.00000e+00;1.00000e+00;3.10000e-01;9.74301e-01;4.08632e-02;6.12472e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 41.4000) | map_duplicate(probability=0.30) };9.30906e-01;1.00000e+00;9.44433e-01;Pipeline { filter(avg_Y < 663000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 650000000.0000) };9.31462e-01;1.00000e+00;9.44064e-01;Pipeline { filter(avg_Y < 635000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 2040000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 7840000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;13;1300;1300;5.67730e+01;100;100;100;1.00000e+00;1.00000e+00;3.10000e-01;9.74301e-01;4.08632e-02;6.12472e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 41.4000) | map_duplicate(probability=0.30) };9.25380e-01;1.00000e+00;9.47790e-01;Pipeline { filter(avg_Y < 715000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 6250000000.0000) };9.31462e-01;1.00000e+00;9.44064e-01;Pipeline { filter(avg_Y < 625000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 6980000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 7400000.0000) }
datasets/geolife_60mins.csv;nsga2;1;14;1400;1400;5.98750e+01;100;100;100;1.00000e+00;1.00000e+00;3.30000e-01;9.74301e-01;4.08632e-02;6.12472e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 41.4000) | map_duplicate(probability=0.30) };9.18779e-01;1.00000e+00;9.98643e-01;Pipeline { filter(avg_Y < 2670000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 23900000.0000) };9.34045e-01;1.00000e+00;9.21060e-01;Pipeline { filter(avg_Y < 369000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 79400000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 490000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;15;1500;1500;6.29820e+01;100;100;100;1.00000e+00;1.00000e+00;3.60000e-01;9.74301e-01;4.08632e-02;6.12472e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 41.4000) | map_duplicate(probability=0.30) };9.19790e-01;1.00000e+00;9.84704e-01;Pipeline { filter(avg_Y < 2240000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 2500000000.0000) };9.35455e-01;5.62090e-01;8.06141e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 5710000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 6300000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;16;1600;1600;6.60390e+01;100;100;100;1.00000e+00;1.00000e+00;3.70000e-01;9.78168e-01;2.43334e-02;6.13828e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=4) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 81.3000) | map_duplicate(probability=0.30) };9.18779e-01;1.00000e+00;9.99137e-01;Pipeline { filter(avg_X < 2550000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 670000000.0000) };9.37575e-01;4.98114e-01;7.95760e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) | map_noise(attribute=avg_Y, percentage=0.01) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 766000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 2570000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;17;1700;1700;6.88900e+01;100;100;100;1.00000e+00;1.00000e+00;4.10000e-01;9.78168e-01;2.43334e-02;6.13828e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=4) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 81.3000) | map_duplicate(probability=0.30) };9.18771e-01;1.00000e+00;9.99657e-01;Pipeline { filter(avg_X < 4100000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 39000000.0000) };9.40754e-01;3.02253e-01;7.75944e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) | map_aggregate(attribute=avg_X, function=max, window=4) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 17900000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 480000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;18;1800;1800;7.19150e+01;100;100;100;1.00000e+00;1.00000e+00;4.60000e-01;9.78168e-01;2.43334e-02;6.13828e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=4) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 81.3000) | map_duplicate(probability=0.30) };9.19790e-01;1.00000e+00;9.84704e-01;Pipeline { filter(avg_Y < 2240000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 52100000.0000) };9.58342e-01;2.06021e-01;7.65036e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=3) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 64300000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 89900000.0000) }
datasets/geolife_60mins.csv;nsga2;1;19;1900;1900;7.52000e+01;100;100;100;1.00000e+00;1.00000e+00;4.80000e-01;9.79891e-01;3.70646e-02;6.10797e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=5) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 41.4000) | map_duplicate(probability=0.30) };9.18771e-01;1.00000e+00;9.99657e-01;Pipeline { filter(avg_X < 4100000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 340000000.0000) };9.65023e-01;1.53599e-01;6.25517e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=max, window=3) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_X, function=min, window=6) | map_aggregate(attribute=avg_Y, function=min, window=5) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 9200000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 208000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;20;2000;2000;7.83360e+01;100;100;100;1.00000e+00;1.00000e+00;4.80000e-01;9.79891e-01;3.70646e-02;6.10797e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=5) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 41.4000) | map_duplicate(probability=0.30) };9.19790e-01;1.00000e+00;9.84704e-01;Pipeline { filter(avg_Y < 2240000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 809000000.0000) };9.65145e-01;1.20774e-01;6.25262e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_X, function=min, window=6) | map_aggregate(attribute=avg_Y, function=min, window=5) | filter(avg_Y > 81.4000) | map_duplicate(probability=0.30) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 1550000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 416000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;21;2100;2100;8.17400e+01;100;100;100;1.00000e+00;1.00000e+00;4.00000e-01;9.79891e-01;3.70646e-02;6.10797e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=5) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 41.4000) | map_duplicate(probability=0.30) };9.19829e-01;1.00000e+00;9.84340e-01;Pipeline { filter(avg_Y < 1630000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 2890000000.0000) };9.38597e-01;3.62108e-01;7.81875e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) | map_aggregate(attribute=avg_X, function=max, window=3) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 15500000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 3510000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;22;2200;2200;8.48080e+01;100;100;100;1.00000e+00;9.90000e-01;4.30000e-01;9.79891e-01;3.70646e-02;6.10797e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=5) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=min, window=6) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_Y > 41.4000) | map_duplicate(probability=0.30) };9.18771e-01;1.00000e+00;9.99657e-01;Pipeline { filter(avg_X < 4100000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 14000000.0000) };9.40754e-01;3.02253e-01;7.75944e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) | map_aggregate(attribute=avg_X, function=max, window=4) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 107000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 1740000000.0000) }
